title,artist,year,genre
Too Little Too Late,JoJo,2006,"dance pop, pop, post-teen pop"
Touch It,Busta Rhymes,2006,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap"
Rompe,Daddy Yankee,2006,"latin hip hop, reggaeton, trap latino, urbano latino"
Deja Vu,Beyonce Featuring Jay Z,2006,"pop, r&b"
Life Is A Highway,Rascal Flatts,2006,"contemporary country, country, country road"
Call Me When You're Sober,Evanescence,2006,alternative metal
"Jesus, Take The Wheel",Carrie Underwood,2006,"classic oklahoma country, contemporary country, country, country dawn, country road, dance pop"
Show Stopper,Danity Kane,2006,"dance pop, girl group, hip pop, r&b, urban contemporary"
Get Up,Ciara Featuring Chamillionaire,2006,"dance pop, hip pop, pop, r&b, urban contemporary"
We Be Burnin',Sean Paul,2006,"dance pop, dancehall, pop, pop rap"
Hate Me,Blue October,2006,san marcos tx indie
You And Me,Lifehouse,2006,"neo mellow, pop rock, post-grunge"
Beep,The Pussycat Dolls Featuring will.i.am,2006,"dance pop, girl group, pop"
I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2006,"atl hip hop, crunk, dirty south rap, southern hip hop"
Say Goodbye,Chris Brown,2006,"pop rap, r&b, rap"
Waiting On The World To Change,John Mayer,2006,"neo mellow, singer-songwriter"
Soul Survivor,Young Jeezy Featuring Akon,2006,"hip hop, rap"
Pump It,The Black Eyed Peas,2006,fake
When I'm Gone,Eminem,2006,"detroit hip hop, hip hop, rap"
Hung Up,Madonna,2006,"dance pop, pop"
Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2006,"crunk, dirty south rap, gangster rap, memphis hip hop, southern hip hop, tennessee hip hop, trap"
Love,Keyshia Cole,2006,"hip pop, r&b, urban contemporary"
When You're Mad,Ne-Yo,2006,"dance pop, pop, r&b, urban contemporary"
Why You Wanna,T.I.,2006,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Stupid Girls,P!nk,2006,"dance pop, pop"
Feel Good Inc,Gorillaz,2006,"alternative hip hop, modern rock, rock"
I'm Sprung,T-Pain,2006,"contemporary r&b, hip hop, r&b, rap"
Do I Make You Proud,Taylor Hicks,2006,idol
For You I Will (Confidence),Teddy Geiger,2006,pop rock
Irreplaceable,Beyonce,2007,"pop, r&b"
Umbrella,Rihanna Featuring Jay-Z,2007,"barbadian pop, pop, urban contemporary"
The Sweet Escape,Gwen Stefani Featuring Akon,2007,"dance pop, pop"
Big Girls Don't Cry,Fergie,2007,"dance pop, pop"
Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,2007,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
Before He Cheats,Carrie Underwood,2007,"classic oklahoma country, contemporary country, country, country dawn, country road, dance pop"
Hey There Delilah,Plain White T's,2007,"modern rock, neo mellow, neon pop punk, pop punk, pop rock"
I Wanna Love You,Akon Featuring Snoop Dogg,2007,dance pop
Say It Right,Nelly Furtado,2007,"canadian latin, canadian pop, dance pop, pop"
Glamorous,Fergie Featuring Ludacris,2007,"dance pop, pop"
Don't Matter,Akon,2007,"reggae fusion, r&b, pop, afrobeats, pop rap"
Girlfriend,Avril Lavigne,2007,"canadian pop, candy pop, pop"
Makes Me Wonder,Maroon 5,2007,pop
Party Like A Rockstar,Shop Boyz,2007,"atl hip hop, dirty south rap, futuristic swag"
Smack That,Akon Featuring Eminem,2007,dance pop
This Is Why I'm Hot,Mims,2007,pop rap
It's Not Over,Daughtry,2007,"alternative metal, neo mellow, pop rock, post-grunge"
The Way I Are,Timbaland Featuring Keri Hilson,2007,"dance pop, pop, pop rap"
Fergalicious,Fergie,2007,"dance pop, pop"
Crank That (Soulja Boy),Soulja Boy Tell'em,2007,"atl hip hop, chicago bop, dance pop, pop rap, rap, southern hip hop, trap"
Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake,2007,"dance pop, pop, pop rap"
What Goes Around...Comes Around,Justin Timberlake,2007,"dance pop, pop"
Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,2007,"dance pop, pop rap"
How To Save A Life,The Fray,2007,"neo mellow, piano rock, pop, pop rock"
Home,Daughtry,2007,"alternative metal, neo mellow, pop rock, post-grunge"
My Love,Justin Timberlake Featuring T.I.,2007,"dance pop, pop"
Stronger,Kanye West,2007,"chicago rap, hip hop, rap"
We Fly High,Jim Jones,2007,"gangster rap, harlem hip hop, pop rap, trap"
U + Ur Hand,P!nk,2007,"dance pop, pop"
Walk It Out,Unk,2007,"atl hip hop, dirty south rap"
Beautiful Girls,Sean Kingston,2007,"dance pop, miami hip hop, pop"
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,2007,"emo, modern rock, pop, pop punk, rock"
Bartender,T-Pain Featuring Akon,2007,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
"Pop, Lock & Drop It",Huey,2007,"dirty south rap, southern hip hop"
Runaway Love,Ludacris Featuring Mary J. Blige,2007,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap"
Rockstar,Nickelback,2007,"alternative metal, canadian rock, post-grunge"
Thnks Fr Th Mmrs,Fall Out Boy,2007,"emo, modern rock, pop, pop punk, rock"
What I've Done,Linkin Park,2007,"alternative metal, nu metal, post-grunge, rap metal, rock"
Summer Love,Justin Timberlake,2007,"dance pop, pop"
You,Lloyd Featuring Lil Wayne,2007,"r&b, southern hip hop, trap, urban contemporary"
Wait For You,Elliott Yamin,2007,idol
Last Night,Diddy Featuring Keyshia Cole,2007,"dance pop, east coast hip hop, hip hop, hip pop, pop rap, rap"
Make It Rain,Fat Joe Featuring Lil Wayne,2007,"bronx hip hop, east coast hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, rap, trap"
Make Me Better,Fabolous Featuring Ne-Yo,2007,"gangster rap, hip hop, pop rap, rap, trap, urban contemporary"
Ice Box,Omarion,2007,"dance pop, hip pop, r&b, rap, southern hip hop, trap, urban contemporary"
Lips Of An Angel,Hinder,2007,"alternative metal, nu metal, post-grunge"
Waiting On The World To Change,John Mayer,2007,"neo mellow, singer-songwriter"
Lost Without U,Robin Thicke,2007,"dance pop, neo soul, pop rap, r&b, urban contemporary"
I'm A Flirt,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),2007,"hip hop, rap, r&b"
If Everyone Cared,Nickelback,2007,"alternative metal, canadian rock, post-grunge"
Get It Shawty,Lloyd,2007,"r&b, southern hip hop, trap, urban contemporary"
Face Down,The Red Jumpsuit Apparatus,2007,"alternative metal, neon pop punk, pop punk, post-grunge, screamo"
The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,2007,southern hip hop
Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,2007,"dance pop, dirty south rap, hip pop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary"
It Ends Tonight,The All-American Rejects,2007,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge"
A Bay Bay,Hurricane Chris,2007,dirty south rap
Because Of You,Ne-Yo,2007,"dance pop, pop, r&b, urban contemporary"
I Tried,Bone Thugs-N-Harmony Featuring Akon,2007,"gangster rap, hardcore hip hop, hip hop, ohio hip hop, rap"
Welcome To The Black Parade,My Chemical Romance,2007,"emo, modern rock, pop punk, pov: indie, rock"
Shawty,Plies Featuring T-Pain,2007,"dirty south rap, miami hip hop, southern hip hop, trap"
Chasing Cars,Snow Patrol,2007,"irish rock, modern rock, neo mellow, permanent wave, pop rock"
Beautiful Liar,Beyonce & Shakira,2007,"pop, r&b"
SexyBack,Justin Timberlake,2007,"dance pop, pop"
Keep Holding On,Avril Lavigne,2007,"canadian pop, candy pop, pop"
Let It Go,Keyshia Cole Featuring Missy Elliott & Lil Kim,2007,"hip pop, r&b, urban contemporary"
