"Sugar, We're Goin' Down",Fall Out Boy,2006,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",Neutral
Gimme That,Chris Brown Featuring Lil Wayne,2006,"['pop rap', 'r&b', 'rap']",Neutral
Touch It,Busta Rhymes,2006,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",Neutral
Rompe,Daddy Yankee,2006,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",Neutral
Life Is A Highway,Rascal Flatts,2006,"['contemporary country', 'country', 'country road']",Neutral
Show Stopper,Danity Kane,2006,"['dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",Neutral
Get Up,Ciara Featuring Chamillionaire,2006,"['dance pop', 'hip pop', 'pop', 'r&b', 'urban contemporary']",Neutral
Beep,The Pussycat Dolls Featuring will.i.am,2006,"['dance pop', 'girl group', 'pop']",Neutral
Waiting On The World To Change,John Mayer,2006,"['neo mellow', 'singer-songwriter']",Neutral
Hung Up,Madonna,2006,"['dance pop', 'pop']",Neutral
When You're Mad,Ne-Yo,2006,"['dance pop', 'pop', 'r&b', 'urban contemporary']",Neutral
Why You Wanna,T.I.,2006,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Neutral
Stupid Girls,P!nk,2006,"['dance pop', 'pop']",Neutral
Run It!,Chris Brown,2006,"['pop rap', 'r&b', 'rap']",Sad
What Hurts The Most,Rascal Flatts,2006,"['contemporary country', 'country', 'country road']",Sad
How To Save A Life,The Fray,2006,"['neo mellow', 'piano rock', 'pop', 'pop rock']",Sad
Unfaithful,Rihanna,2006,"['barbadian pop', 'pop', 'urban contemporary']",Sad
Chasing Cars,Snow Patrol,2006,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock']",Sad
Lips Of An Angel,Hinder,2006,"['alternative metal', 'nu metal', 'post-grunge']",Sad
Photograph,Nickelback,2006,"['alternative metal', 'canadian rock', 'post-grunge']",Sad
Because Of You,Kelly Clarkson,2006,"['dance pop', 'pop', 'talent show']",Sad
My Humps,The Black Eyed Peas,2006,"['pop rap', 'r&b', 'rap']",Sad
What You Know,T.I.,2006,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Sad
Far Away,Nickelback,2006,"['alternative metal', 'canadian rock', 'post-grunge']",Sad
What's Left Of Me,Nick Lachey,2006,"['idol', 'post-teen pop']",Sad
I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop', 'trap']",Sad
Deja Vu,Beyonce Featuring Jay Z,2006,"['pop', 'r&b']",Sad
Call Me When You're Sober,Evanescence,2006,['alternative metal'],Sad
"Jesus, Take The Wheel",Carrie Underwood,2006,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'country road', 'dance pop']",Sad
Hate Me,Blue October,2006,['san marcos tx indie'],Sad
You And Me,Lifehouse,2006,"['neo mellow', 'pop rock', 'post-grunge']",Sad
Say Goodbye,Chris Brown,2006,"['pop rap', 'r&b', 'rap']",Sad
Love,Keyshia Cole,2006,"['hip pop', 'r&b', 'urban contemporary']",Sad
Do I Make You Proud,Taylor Hicks,2006,['idol'],Sad
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",2006,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",Neutral 
Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop', 'trap']",Neutral 
"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,2006,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop']",Neutral 
Ain't No Other Man,Christina Aguilera,2006,"['pop', 'r&b']",Neutral 
Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,2006,"['atl hip hop', 'country rap', 'dirty south rap', 'southern hip hop']",Happy
I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,2006,"['pop rap', 'r&b', 'rap']",Neutral
Where'd You Go,Fort Minor Featuring Holly Brook,2006,"['alternative hip hop', 'rap']",Sad
Don't Forget About Us,Mariah Carey,2006,"['pop', 'r&b']",Sad
U And Dat,E-40 Featuring T-Pain & Kandi Girl,2006,"['cali rap', 'gangster rap', 'hyphy', 'oakland hip hop', 'west coast rap']",Neutral
I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",2006,"['atl hip hop', 'crunk', 'dirty south rap', 'southern hip hop']",Neutral
Soul Survivor,Young Jeezy Featuring Akon,2006,"['hip hop', 'rap']",Neutral
Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,2006,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",Neutral
I'm Sprung,T-Pain,2006,"['contemporary r&b', 'hip hop', 'r&b', 'rap']",Neutral
For You I Will (Confidence),Teddy Geiger,2006,['pop rock'],Happy
The Sweet Escape,Gwen Stefani Featuring Akon,2007,"['dance pop', 'pop']",Happy
Say It Right,Nelly Furtado,2007,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",Happy
Makes Me Wonder,Maroon 5,2007,['pop'],Happy
The Way I Are,Timbaland Featuring Keri Hilson,2007,"['dance pop', 'pop', 'pop rap']",Happy
Fergalicious,Fergie,2007,"['dance pop', 'pop']",Happy
Crank That (Soulja Boy),Soulja Boy Tell'em,2007,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Happy
U + Ur Hand,P!nk,2007,"['dance pop', 'pop']",Happy
Walk It Out,Unk,2007,"['atl hip hop', 'dirty south rap']",Happy
Beautiful Girls,Sean Kingston,2007,"['dance pop', 'miami hip hop', 'pop']",Happy
Runaway Love,Ludacris Featuring Mary J. Blige,2007,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Happy
You,Lloyd Featuring Lil Wayne,2007,"['r&b', 'southern hip hop', 'trap', 'urban contemporary']",Happy
Last Night,Diddy Featuring Keyshia Cole,2007,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",Happy
Make It Rain,Fat Joe Featuring Lil Wayne,2007,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",Happy
Ice Box,Omarion,2007,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",Happy
Lost Without U,Robin Thicke,2007,"['dance pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",Happy
The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,2007,['southern hip hop'],Happy
A Bay Bay,Hurricane Chris,2007,['dirty south rap'],Happy
